Employee_Name,EmpID,Salary,Position,DOB,Sex,DateofHire,DateofTermination,Department,ManagerName,ManagerID,RecruitmentSource
"Demita, Carla",10100,58275,Production Technician II,1951-02-25,{F},2011-04-04,2015-11-04,Production,Kelley Spirea,18,Google Search
"Desimone, Carl ",10310,53189,Production Technician I,1967-04-19,{M },2014-07-07,,Production,Amy Dunn,11,Indeed
"DeVito, Tommy",10197,96820,BI Developer,1983-09-04,{M },2017-02-15,,IT/IS,Brian Champaigne,13,Indeed
"Dickinson, Geoff ",10276,51259,Production Technician I,1982-11-15,{M },2014-05-12,,Production,Ketsia Liebig,19,Indeed
"Dietrich, Jenna  ",10304,59231,Area Sales Manager,1987-05-14,{F},2012-02-20,,Sales,John Smith,17,Website
"DiNocco, Lily ",10284,61584,Production Technician I,1978-12-02,{F},2013-01-07,,Production,Brannon Miller,12,Indeed
"Dobrin, Denisa  S",10207,46335,Production Technician I,1986-10-07,{F},2012-04-02,,Production,David Stanley,14,CareerBuilder
"Dolan, Linda",10133,70621,IT Support,1988-07-18,{F},2015-01-05,,IT/IS,Peter Monroe,7,Employee Referral
"Dougall, Eric",10028,138888,IT Manager - Support,1970-07-09,{M },2014-01-05,,IT/IS,Jennifer Zamora,5,Indeed
"Driver, Elle",10006,74241,Area Sales Manager,1988-11-08,{F},2011-01-10,,Sales,Lynn Daneault,21,Indeed
"Dunn, Amy  ",10105,75188,Production Manager,1973-11-28,{F},2014-09-18,,Production,Janet King,2,Google Search
"Dunne, Amy",10211,62514,Production Technician I,1973-09-23,{F},2010-04-26,,Production,Ketsia Liebig,19,Google Search
"Eaton, Marianne",10064,60070,Production Technician I,1991-09-05,{F},2011-04-04,2017-06-06,Production,Kissy Sullivan,20,Google Search
"Engdahl, Jean",10247,48888,Production Technician I,1974-05-31,{M },2014-11-10,,Production,Kelley Spirea,18,LinkedIn
"England, Rex",10235,54285,Production Technician I,1978-08-25,{M },2014-03-31,,Production,Kelley Spirea,18,Employee Referral
"Erilus, Angela",10299,56847,Production Technician II,1989-08-25,{F},2014-07-07,,Production,Michael Albert,22,Indeed
"Estremera, Miguel",10280,60340,Production Technician I,1983-09-02,{M },2012-04-02,2018-09-27,Production,Michael Albert,22,Google Search
"Evensen, April",10296,59124,Production Technician I,1989-05-06,{F},2014-02-17,2018-02-25,Production,Elijiah Gray,16,Google Search
"Exantus, Susan",10290,99280,Software Engineer,1987-05-15,{F},2011-05-02,2013-06-05,Software Engineering,Alex Sweetwater,10,Indeed
"Faller, Megan ",10263,71776,Production Technician II,1978-09-22,{F},2014-07-07,,Production,Elijiah Gray,16,LinkedIn
"Fancett, Nicole",10136,65902,Production Technician II,1987-09-27,{F},2014-02-17,,Production,Webster Butler,,LinkedIn
"Ferguson, Susan",10189,57748,Production Technician I,1955-04-14,{F},2011-11-07,2016-05-17,Production,Webster Butler,39,Google Search
"Fernandes, Nilson  ",10308,64057,Production Technician I,1989-10-18,{M },2015-05-11,,Production,Amy Dunn,11,Indeed
"Fett, Boba",10309,53366,Network Engineer,1987-06-18,{M },2015-03-30,,IT/IS,Peter Monroe,7,LinkedIn
"Fidelia,  Libby",10049,58530,Production Technician I,1981-03-16,{F},2012-01-09,,Production,Brannon Miller,12,Google Search
"Fitzpatrick, Michael  J",10093,72609,Production Technician II,1981-10-01,{M },2011-05-16,2013-06-24,Production,Amy Dunn,11,Google Search
"Foreman, Tanya",10163,55965,Production Technician II,1983-11-08,{F},2011-04-04,2013-01-09,Production,Ketsia Liebig,19,Google Search
"Forrest, Alex",10305,70187,Area Sales Manager,1975-07-07,{M },2014-09-29,2018-08-19,Sales,Lynn Daneault,21,Employee Referral
"Foss, Jason",10015,178000,IT Director,1980-07-05,{M },2011-04-15,,IT/IS,Jennifer Zamora,5,Indeed
"Foster-Baker, Amy",10080,99351,Sr. Accountant,1979-04-16,{F},2009-01-05,,Admin Offices,Board of Directors,9,Other
"Fraval, Maruk ",10258,67251,Area Sales Manager,1963-08-28,{M },2011-09-06,,Sales,Lynn Daneault,21,CareerBuilder
"Galia, Lisa",10273,65707,IT Support,1968-07-06,{F},2010-05-01,,IT/IS,Eric Dougall,6,LinkedIn
"Garcia, Raul",10111,52249,Production Technician I,1985-09-15,{M },2015-03-30,,Production,David Stanley,14,Employee Referral
"Gaul, Barbara",10257,53171,Production Technician I,1983-12-02,{F},2011-05-16,,Production,Kelley Spirea,18,LinkedIn
"Gentry, Mildred",10159,51337,Production Technician I,1990-10-01,{F},2015-03-30,,Production,Michael Albert,22,LinkedIn
"Gerke, Melisa",10122,51505,Production Technician I,1970-05-15,{F},2011-11-07,2016-11-15,Production,Elijiah Gray,16,Diversity Job Fair
"Gill, Whitney  ",10142,59370,Area Sales Manager,1971-07-10,{F},2014-07-07,2015-09-05,Sales,John Smith,17,CareerBuilder
"Gilles, Alex",10283,54933,Production Technician I,1974-08-09,{M },2012-04-02,2015-06-25,Production,Webster Butler,39,Diversity Job Fair
"Girifalco, Evelyn",10018,57815,Production Technician I,1980-05-08,{F},2014-09-29,,Production,Amy Dunn,11,Indeed
"Givens, Myriam",10255,61555,Area Sales Manager,1989-09-22,{F},2015-02-16,,Sales,Lynn Daneault,21,Indeed
"Goble, Taisha",10246,114800,Database Administrator,1971-10-23,{F},2015-02-16,2015-03-15,IT/IS,Simon Roup,4,Indeed
"Goeth, Amon",10228,74679,IT Support,1989-11-24,{M },2015-03-30,,IT/IS,Peter Monroe,7,LinkedIn
"Gold, Shenice  ",10243,53018,Production Technician I,1992-06-18,{F},2013-11-11,,Production,Ketsia Liebig,19,Indeed
"Gonzalez, Cayo",10031,59892,Production Technician I,1969-09-29,{M },2011-07-11,,Production,Brannon Miller,12,Diversity Job Fair
"Gonzalez, Juan",10300,68898,Production Technician II,1964-10-12,{M },2010-04-26,2011-05-30,Production,Brannon Miller,12,Diversity Job Fair
"Gonzalez, Maria",10101,61242,IT Support,1981-04-16,{F},2015-01-05,,IT/IS,Peter Monroe,7,Employee Referral
"Good, Susan",10237,66825,Production Technician II,1986-05-25,{F},2014-05-12,,Production,David Stanley,14,LinkedIn
"Gordon, David",10051,48285,Production Technician I,1979-05-21,{M },2012-07-02,,Production,David Stanley,14,LinkedIn
"Gosciminski, Phylicia  ",10218,66149,Production Technician II,1983-12-08,{F},2013-09-30,,Production,Kissy Sullivan,20,Google Search
"Goyal, Roxana",10256,49256,Production Technician I,1974-10-09,{F},2013-08-19,,Production,Kissy Sullivan,20,LinkedIn
"Gray, Elijiah  ",10098,62957,Production Manager,1981-07-11,{M },2015-06-02,,Production,Janet King,2,Employee Referral
"Gross, Paula",10059,63813,Production Technician I,1983-05-21,{F},2011-02-21,2014-01-11,Production,Kelley Spirea,18,CareerBuilder
"Gruber, Hans",10234,99020,BI Developer,1989-06-30,{M },2017-04-20,,IT/IS,Brian Champaigne,13,Indeed
"Guilianno, Mike",10109,71707,Area Sales Manager,1969-02-09,{M },2012-03-07,2014-10-31,Sales,John Smith,17,LinkedIn
"Handschiegl, Joanne",10125,54828,Production Technician I,1977-03-23,{F},2011-11-28,,Production,Michael Albert,22,Google Search
"Hankard, Earnest",10074,64246,Production Technician II,1988-08-10,{M },2013-11-11,,Production,Kelley Spirea,18,LinkedIn
"Harrington, Christie ",10097,52177,Production Technician I,1952-08-18,{F},2012-01-09,2015-12-15,Production,Webster Butler,39,CareerBuilder
"Harrison, Kara",10007,62065,Production Technician I,1974-05-02,{F},2014-05-12,,Production,Amy Dunn,11,CareerBuilder
"Heitzman, Anthony",10129,46998,Production Technician I,1984-01-04,{M },2012-08-13,,Production,Ketsia Liebig,19,Google Search
"Hendrickson, Trina",10075,68099,Production Technician II,1972-08-27,{F},2011-01-10,2013-06-18,Production,Kelley Spirea,18,CareerBuilder
"Hitchcock, Alfred",10167,70545,Area Sales Manager,1988-09-14,{M },2014-08-18,,Sales,John Smith,17,Indeed
"Homberger, Adrienne  J",10195,63478,Production Technician II,1984-02-16,{F},2011-08-15,2012-04-07,Production,Michael Albert,30,Indeed
"Horton, Jayne",10112,97999,Database Administrator,1984-02-21,{F},2015-03-30,,IT/IS,Simon Roup,4,Indeed
"Houlihan, Debra",10272,180000,Director of Sales,1966-03-17,{F},2014-05-05,,Sales,Janet King,2,LinkedIn
"Howard, Estelle",10182,49920,Administrative Assistant,1985-09-16,{F},2015-02-16,2015-04-15,Admin Offices,Brandon R. LeBlanc,1,Indeed
"Hudson, Jane",10248,55425,Production Technician I,1986-06-10,{F},2012-02-20,,Production,Ketsia Liebig,19,LinkedIn
"Hunts, Julissa",10201,69340,Production Technician II,1984-03-11,{F},2016-06-06,,Production,Elijiah Gray,16,LinkedIn
"Hutter, Rosalie",10214,64995,Production Technician II,1992-05-07,{F},2015-06-05,,Production,Webster Butler,,Indeed
"Huynh, Ming",10160,68182,Production Technician II,1976-09-22,{F},2011-02-21,2013-04-01,Production,Amy Dunn,11,Google Search
"Immediato, Walter",10289,83082,Production Manager,1976-11-15,{M },2011-02-21,2012-09-24,Production,Janet King,2,Indeed
"Ivey, Rose ",10139,51908,Production Technician I,1991-01-28,{F},2013-08-19,,Production,Brannon Miller,12,Indeed
"Jackson, Maryellen",10227,61242,Production Technician I,1972-09-11,{F},2012-11-05,,Production,David Stanley,14,LinkedIn
"Jacobi, Hannah  ",10236,45069,Production Technician I,1966-03-22,{F},2013-09-30,,Production,Kissy Sullivan,20,Employee Referral
"Jeannite, Tayana",10009,60724,Production Technician II,1986-11-06,{F},2011-07-05,,Production,Ketsia Liebig,19,LinkedIn
"Jhaveri, Sneha  ",10060,60436,Production Technician I,1964-04-13,{F},2014-01-06,,Production,Kelley Spirea,18,LinkedIn
"Johnson, George",10034,46837,Production Technician I,1959-08-19,{M },2011-11-07,2018-04-29,Production,Michael Albert,22,CareerBuilder
"Johnson, Noelle ",10156,105700,Database Administrator,1986-11-07,{F},2015-01-05,,IT/IS,Simon Roup,4,Indeed
"Johnston, Yen",10036,63322,Production Technician II,1969-09-08,{F},2014-07-07,,Production,Brannon Miller,12,LinkedIn
"Jung, Judy  ",10138,61154,Production Technician I,1986-04-17,{F},2011-01-10,2016-04-01,Production,Elijiah Gray,16,CareerBuilder
"Kampew, Donysha",10244,68999,Sales Manager,1989-11-11,{F},2011-11-07,2014-04-24,Sales,Debra Houlihan,15,Google Search
"Keatts, Kramer ",10192,50482,Production Technician I,1976-01-19,{M },2013-09-30,,Production,Michael Albert,22,Indeed
"Khemmich, Bartholemew",10231,65310,Area Sales Manager,1979-11-27,{M },2013-08-19,,Sales,Lynn Daneault,21,Indeed
"King, Janet",10089,250000,President & CEO,1954-09-21,{F},2012-07-02,,Executive Office,Board of Directors,9,Indeed
"Kinsella, Kathleen  ",10166,54005,Production Technician I,1973-12-08,{F},2011-09-26,2015-06-04,Production,Webster Butler,39,Google Search
"Kirill, Alexandra  ",10170,45433,Production Technician I,1970-10-08,{F},2011-09-26,2014-01-09,Production,Amy Dunn,11,Google Search
"Knapp, Bradley  J",10208,46654,Production Technician I,1977-11-10,{M },2014-02-17,,Production,Ketsia Liebig,19,LinkedIn
"Kretschmer, John",10176,63973,Production Technician I,1980-02-02,{M },2011-01-10,,Production,Brannon Miller,12,Indeed
"Kreuger, Freddy",10165,71339,Area Sales Manager,1969-02-24,{M },2011-03-07,,Sales,John Smith,17,Diversity Job Fair
"Lajiri,  Jyoti",10113,93206,Sr. Network Engineer,1986-04-23,{M },2014-11-10,,IT/IS,Peter Monroe,7,Employee Referral
"Landa, Hans",10092,82758,Production Manager,1972-07-01,{M },2011-01-10,2015-12-12,Production,Janet King,2,Employee Referral
"Langford, Lindsey",10106,66074,Production Technician II,1979-07-25,{F},2013-01-07,2014-03-31,Production,David Stanley,14,Indeed
"Langton, Enrico",10052,46120,Production Technician I,1986-12-09,{M },2012-07-09,,Production,David Stanley,14,LinkedIn
"LaRotonda, William  ",10038,64520,Accountant I,1984-04-26,{M },2014-01-06,,Admin Offices,Brandon R. LeBlanc,1,Website
"Latif, Mohammed",10249,61962,Production Technician II,1984-05-09,{M },2012-04-02,2013-04-15,Production,Kissy Sullivan,20,Google Search
"Le, Binh",10232,81584,Senior BI Developer,1987-06-14,{F},2016-10-02,,IT/IS,Brian Champaigne,13,Indeed
"Leach, Dallas",10087,63676,Production Technician I,1979-01-17,{F},2011-09-26,2018-08-19,Production,Kissy Sullivan,20,CareerBuilder
"LeBlanc, Brandon  R",10134,93046,Shared Services Manager,1984-06-10,{M },2016-01-05,,Admin Offices,Janet King,2,CareerBuilder
"Lecter, Hannibal",10251,64738,Production Technician I,1982-09-02,{M },2012-05-14,,Production,Elijiah Gray,16,Google Search
"Leruth, Giovanni",10103,70468,Area Sales Manager,1988-12-27,{M },2012-04-30,,Sales,John Smith,17,Website
"Liebig, Ketsia",10017,77915,Production Manager,1981-10-26,{F},2013-09-30,,Production,Janet King,2,Website
"Linares, Marilyn ",10186,52624,Production Technician I,1981-03-26,{F},2011-07-05,2018-09-26,Production,Michael Albert,22,Indeed
"Linden, Mathew",10137,63450,Production Technician II,1979-03-19,{M },2013-07-08,,Production,Kelley Spirea,18,LinkedIn
"Lindsay, Leonara ",10008,51777,IT Support,1988-10-05,{F},2011-01-21,,IT/IS,Eric Dougall,6,Diversity Job Fair
"Lundy, Susan",10096,67237,Production Technician II,1976-12-26,{F},2013-07-08,2016-09-15,Production,Michael Albert,22,LinkedIn
"Lunquist, Lisa",10035,73330,Production Technician II,1982-03-28,{F},2013-08-19,,Production,Elijiah Gray,16,Indeed
"Lydon, Allison",10057,52057,Production Technician I,1975-10-22,{F},2015-02-16,,Production,Elijiah Gray,16,Website
"Lynch, Lindsay",10004,47434,Production Technician I,1973-02-14,{F},2011-11-07,2015-11-14,Production,Webster Butler,39,Diversity Job Fair
"MacLennan, Samuel",10191,52788,Production Technician I,1972-11-09,{M },2012-09-24,2017-09-26,Production,Amy Dunn,11,Indeed
"Mahoney, Lauren  ",10219,45395,Production Technician I,1986-07-07,{F},2014-01-06,,Production,Ketsia Liebig,19,LinkedIn
"Manchester, Robyn",10077,62385,Production Technician II,1976-08-25,{F},2016-05-11,,Production,Webster Butler,,LinkedIn
"Mancuso, Karen",10073,68407,Production Technician II,1986-12-10,{F},2011-07-05,2012-08-19,Production,Amy Dunn,11,LinkedIn
"Mangal, Debbie",10279,61349,Production Technician I,1974-11-07,{F},2013-11-11,,Production,Brannon Miller,12,LinkedIn
"Martin, Sandra",10110,105688,Software Engineer,1987-11-07,{F},2013-11-11,,Software Engineering,Alex Sweetwater,10,Google Search
"Maurice, Shana",10053,54132,Production Technician I,1977-11-22,{F},2011-05-31,,Production,David Stanley,14,Indeed
"Carthy, B'rigit",10076,55315,Production Technician II,1987-05-21,{F},2015-03-30,,Production,Ketsia Liebig,19,LinkedIn
"Mckenna, Sandy",10145,62810,Production Technician I,1987-01-07,{F},2013-01-07,,Production,Kissy Sullivan,20,CareerBuilder
"McKinzie, Jac",10202,63291,Area Sales Manager,1984-07-01,{M },2016-07-06,,Sales,Lynn Daneault,21,Website
"Meads, Elizabeth",10128,62659,Production Technician I,1968-05-30,{F},2012-04-02,2016-11-11,Production,Kelley Spirea,18,Diversity Job Fair
"Medeiros, Jennifer",10068,55688,Production Technician I,1976-09-22,{F},2015-03-30,,Production,Michael Albert,22,CareerBuilder
"Miller, Brannon",10116,83667,Production Manager,1981-08-10,{M },2012-08-16,,Production,Janet King,2,Indeed
"Miller, Ned",10298,55800,Production Technician II,1985-06-29,{M },2011-08-15,2014-09-04,Production,Brannon Miller,12,LinkedIn
"Monkfish, Erasumus",10213,58207,Production Technician II,1992-08-17,{M },2011-11-07,,Production,David Stanley,14,LinkedIn
"Monroe, Peter",10288,157000,IT Manager - Infra,1986-10-05,{M },2012-02-15,,IT/IS,Jennifer Zamora,5,Diversity Job Fair
"Monterro, Luisa",10025,72460,Production Technician II,1970-04-24,{F},2013-05-13,,Production,Kissy Sullivan,20,Indeed
"Moran, Patrick",10223,72106,Production Technician II,1976-12-03,{M },2012-01-09,,Production,Kelley Spirea,18,Diversity Job Fair
"Morway, Tanya",10151,52599,Network Engineer,1979-04-04,{F},2015-02-16,,IT/IS,Peter Monroe,7,CareerBuilder
"Motlagh,  Dawn",10254,63430,Production Technician I,1984-07-07,{F},2013-04-01,,Production,Elijiah Gray,16,LinkedIn
"Moumanil, Maliki ",10120,74417,Production Technician II,1974-12-01,{M },2013-05-13,,Production,Michael Albert,22,LinkedIn
"Myers, Michael",10216,57575,Production Technician I,1980-04-18,{M },2013-07-08,,Production,Kissy Sullivan,20,LinkedIn
"Navathe, Kurt",10079,87921,Senior BI Developer,1970-04-25,{M },2017-02-10,,IT/IS,Brian Champaigne,13,Indeed
"Ndzi, Colombui",10215,50470,Production Technician I,1989-05-02,{M },2011-09-26,2014-04-04,Production,Webster Butler,39,Diversity Job Fair
"Ndzi, Horia",10185,46664,Production Technician I,1983-03-28,{M },2013-04-01,2016-05-25,Production,Amy Dunn,11,Employee Referral
"Newman, Richard ",10063,48495,Production Technician I,1977-04-08,{M },2014-05-12,,Production,Ketsia Liebig,19,LinkedIn
"Ngodup, Shari ",10037,52984,Production Technician I,1967-06-03,{F},2013-04-01,,Production,Brannon Miller,12,Diversity Job Fair
"Nguyen, Dheepa",10042,63695,Area Sales Manager,1989-03-31,{F},2013-07-08,,Sales,Lynn Daneault,21,Indeed
"Nguyen, Lei-Ming",10206,62061,Production Technician I,1984-07-07,{F},2013-07-08,,Production,David Stanley,14,LinkedIn
"Nowlan, Kristie",10104,66738,Production Technician II,1985-11-23,{F},2014-11-10,,Production,Elijiah Gray,16,Indeed
"O'hare, Lynn",10303,52674,Production Technician I,1980-09-30,{F},2014-03-31,2018-05-01,Production,Kissy Sullivan,20,LinkedIn
"Oliver, Brooke ",10078,71966,Production Technician II,1952-02-11,{F},2012-05-14,2013-08-19,Production,Webster Butler,39,LinkedIn
"Onque, Jasmine",10121,63051,Area Sales Manager,1990-05-11,{F},2013-09-30,,Sales,Lynn Daneault,21,Indeed
"Osturnka, Adeel",10021,47414,Production Technician I,1976-12-11,{M },2013-09-30,,Production,Kelley Spirea,18,LinkedIn
"Owad, Clinton",10281,53060,Production Technician I,1979-11-24,{M },2014-02-17,,Production,Michael Albert,22,LinkedIn
"Ozark, Travis",10041,68829,Area Sales Manager,1982-05-19,{M },2015-01-05,,Sales,John Smith,17,Website
"Panjwani, Nina",10148,63515,Production Technician I,1979-05-01,{F},2011-02-07,2014-01-12,Production,Elijiah Gray,16,Google Search
"Patronick, Lucas",10005,108987,Software Engineer,1979-02-20,{M },2011-11-07,2015-09-07,Software Engineering,Alex Sweetwater,10,Diversity Job Fair
"Pearson, Randall",10259,93093,Data Analyst,1984-09-05,{M },2014-12-01,2016-05-01,IT/IS,Simon Roup,4,Employee Referral
"Smith, Martin",10286,53564,Production Technician I,1988-03-17,{M },2011-01-10,2017-12-28,Production,Webster Butler,39,Google Search
